timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/09/13 13:30:44.020, 0, NVIDIA L40S, 0 %, 0 %, 0 MiB, 46068 MiB, 36, 35.43 W
2026/09/13 13:30:49.025, 0, NVIDIA L40S, 0 %, 0 %, 847 MiB, 46068 MiB, 38, 61.69 W
2026/09/13 13:30:54.026, 0, NVIDIA L40S, 100 %, 97 %, 21715 MiB, 46068 MiB, 49, 309.38 W
2026/09/13 13:30:59.027, 0, NVIDIA L40S, 99 %, 96 %, 21715 MiB, 46068 MiB, 51, 300.79 W
2026/09/13 13:31:04.028, 0, NVIDIA L40S, 100 %, 98 %, 21715 MiB, 46068 MiB, 54, 289.04 W
2026/09/13 13:31:09.028, 0, NVIDIA L40S, 100 %, 98 %, 21715 MiB, 46068 MiB, 55, 305.75 W
2026/09/13 13:31:14.029, 0, NVIDIA L40S, 100 %, 97 %, 21715 MiB, 46068 MiB, 56, 312.26 W
2026/09/13 13:31:19.030, 0, NVIDIA L40S, 99 %, 95 %, 21715 MiB, 46068 MiB, 59, 313.55 W
2026/09/13 13:31:24.031, 0, NVIDIA L40S, 100 %, 97 %, 21715 MiB, 46068 MiB, 60, 314.27 W
2026/09/13 13:31:29.031, 0, NVIDIA L40S, 100 %, 96 %, 21715 MiB, 46068 MiB, 61, 301.16 W
2026/09/13 13:31:34.032, 0, NVIDIA L40S, 100 %, 96 %, 21715 MiB, 46068 MiB, 63, 311.72 W
2026/09/13 13:31:39.034, 0, NVIDIA L40S, 97 %, 93 %, 21715 MiB, 46068 MiB, 62, 314.67 W
2026/09/13 13:31:44.035, 0, NVIDIA L40S, 97 %, 93 %, 21715 MiB, 46068 MiB, 63, 239.49 W
2026/09/13 13:31:49.035, 0, NVIDIA L40S, 97 %, 93 %, 21715 MiB, 46068 MiB, 63, 294.18 W
2026/09/13 13:31:54.036, 0, NVIDIA L40S, 100 %, 96 %, 21715 MiB, 46068 MiB, 64, 302.46 W
2026/09/13 13:31:59.037, 0, NVIDIA L40S, 100 %, 97 %, 21715 MiB, 46068 MiB, 65, 300.67 W
2026/09/13 13:32:04.037, 0, NVIDIA L40S, 100 %, 96 %, 21715 MiB, 46068 MiB, 66, 306.94 W
2026/09/13 13:32:09.038, 0, NVIDIA L40S, 100 %, 96 %, 21715 MiB, 46068 MiB, 65, 305.17 W
2026/09/13 13:32:14.039, 0, NVIDIA L40S, 100 %, 95 %, 21715 MiB, 46068 MiB, 67, 296.00 W
2026/09/13 13:32:19.040, 0, NVIDIA L40S, 99 %, 95 %, 21715 MiB, 46068 MiB, 68, 287.23 W
2026/09/13 13:32:24.040, 0, NVIDIA L40S, 99 %, 95 %, 21715 MiB, 46068 MiB, 68, 305.33 W
2026/09/13 13:32:29.041, 0, NVIDIA L40S, 99 %, 95 %, 21715 MiB, 46068 MiB, 69, 304.90 W
2026/09/13 13:32:34.042, 0, NVIDIA L40S, 100 %, 96 %, 21715 MiB, 46068 MiB, 70, 296.05 W
2026/09/13 13:32:39.042, 0, NVIDIA L40S, 98 %, 93 %, 21715 MiB, 46068 MiB, 70, 283.66 W
2026/09/13 13:32:44.043, 0, NVIDIA L40S, 28 %, 27 %, 21715 MiB, 46068 MiB, 69, 237.48 W
2026/09/13 13:32:49.044, 0, NVIDIA L40S, 98 %, 93 %, 21715 MiB, 46068 MiB, 71, 318.73 W
2026/09/13 13:32:54.044, 0, NVIDIA L40S, 100 %, 96 %, 21715 MiB, 46068 MiB, 70, 305.53 W
2026/09/13 13:32:59.045, 0, NVIDIA L40S, 100 %, 96 %, 21715 MiB, 46068 MiB, 71, 308.03 W
2026/09/13 13:33:04.046, 0, NVIDIA L40S, 99 %, 95 %, 21715 MiB, 46068 MiB, 70, 288.10 W
2026/09/13 13:33:09.046, 0, NVIDIA L40S, 99 %, 95 %, 21715 MiB, 46068 MiB, 70, 306.17 W
2026/09/13 13:33:14.047, 0, NVIDIA L40S, 99 %, 95 %, 21715 MiB, 46068 MiB, 70, 304.09 W
2026/09/13 13:33:19.048, 0, NVIDIA L40S, 99 %, 95 %, 21715 MiB, 46068 MiB, 71, 298.42 W
2026/09/13 13:33:24.048, 0, NVIDIA L40S, 100 %, 98 %, 21715 MiB, 46068 MiB, 71, 281.63 W
2026/09/13 13:33:29.049, 0, NVIDIA L40S, 100 %, 96 %, 21715 MiB, 46068 MiB, 71, 309.31 W
2026/09/13 13:33:34.050, 0, NVIDIA L40S, 100 %, 96 %, 21715 MiB, 46068 MiB, 71, 307.07 W
2026/09/13 13:33:39.050, 0, NVIDIA L40S, 97 %, 93 %, 21715 MiB, 46068 MiB, 71, 259.06 W
2026/09/13 13:33:44.051, 0, NVIDIA L40S, 96 %, 92 %, 21715 MiB, 46068 MiB, 71, 310.02 W
2026/09/13 13:33:49.052, 0, NVIDIA L40S, 98 %, 93 %, 21715 MiB, 46068 MiB, 72, 286.01 W
2026/09/13 13:33:54.052, 0, NVIDIA L40S, 100 %, 96 %, 21715 MiB, 46068 MiB, 71, 306.84 W
2026/09/13 13:33:59.053, 0, NVIDIA L40S, 100 %, 96 %, 21715 MiB, 46068 MiB, 71, 304.50 W
2026/09/13 13:34:04.054, 0, NVIDIA L40S, 100 %, 97 %, 21715 MiB, 46068 MiB, 72, 304.97 W
2026/09/13 13:34:09.055, 0, NVIDIA L40S, 100 %, 94 %, 21715 MiB, 46068 MiB, 71, 293.39 W
2026/09/13 13:34:14.056, 0, NVIDIA L40S, 100 %, 95 %, 21715 MiB, 46068 MiB, 72, 296.89 W
2026/09/13 13:34:19.057, 0, NVIDIA L40S, 100 %, 95 %, 21715 MiB, 46068 MiB, 71, 305.26 W
