timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/09/13 13:35:18.894, 0, NVIDIA L40S, 0 %, 0 %, 0 MiB, 46068 MiB, 44, 38.13 W
2026/09/13 13:35:23.900, 0, NVIDIA L40S, 0 %, 0 %, 847 MiB, 46068 MiB, 46, 88.15 W
2026/09/13 13:35:28.901, 0, NVIDIA L40S, 100 %, 100 %, 42369 MiB, 46068 MiB, 55, 303.21 W
2026/09/13 13:35:33.902, 0, NVIDIA L40S, 100 %, 99 %, 42369 MiB, 46068 MiB, 57, 299.96 W
2026/09/13 13:35:38.904, 0, NVIDIA L40S, 100 %, 98 %, 42369 MiB, 46068 MiB, 58, 295.23 W
2026/09/13 13:35:43.905, 0, NVIDIA L40S, 100 %, 97 %, 42369 MiB, 46068 MiB, 60, 308.26 W
2026/09/13 13:35:48.905, 0, NVIDIA L40S, 99 %, 97 %, 42369 MiB, 46068 MiB, 59, 296.69 W
2026/09/13 13:35:53.906, 0, NVIDIA L40S, 100 %, 100 %, 42369 MiB, 46068 MiB, 62, 294.82 W
2026/09/13 13:35:58.907, 0, NVIDIA L40S, 99 %, 99 %, 42369 MiB, 46068 MiB, 62, 284.06 W
2026/09/13 13:36:03.908, 0, NVIDIA L40S, 100 %, 99 %, 42369 MiB, 46068 MiB, 63, 295.56 W
2026/09/13 13:36:08.908, 0, NVIDIA L40S, 100 %, 99 %, 42369 MiB, 46068 MiB, 64, 307.10 W
2026/09/13 13:36:13.909, 0, NVIDIA L40S, 100 %, 98 %, 42369 MiB, 46068 MiB, 65, 312.28 W
2026/09/13 13:36:18.910, 0, NVIDIA L40S, 97 %, 92 %, 42369 MiB, 46068 MiB, 65, 306.22 W
2026/09/13 13:36:23.912, 0, NVIDIA L40S, 100 %, 96 %, 42369 MiB, 46068 MiB, 65, 304.27 W
2026/09/13 13:36:28.913, 0, NVIDIA L40S, 54 %, 51 %, 42369 MiB, 46068 MiB, 61, 263.90 W
2026/09/13 13:36:33.914, 0, NVIDIA L40S, 97 %, 94 %, 42369 MiB, 46068 MiB, 65, 275.05 W
2026/09/13 13:36:38.915, 0, NVIDIA L40S, 100 %, 93 %, 42369 MiB, 46068 MiB, 66, 296.30 W
2026/09/13 13:36:43.916, 0, NVIDIA L40S, 99 %, 97 %, 42369 MiB, 46068 MiB, 66, 272.00 W
2026/09/13 13:36:48.917, 0, NVIDIA L40S, 100 %, 99 %, 42369 MiB, 46068 MiB, 66, 292.35 W
2026/09/13 13:36:53.918, 0, NVIDIA L40S, 100 %, 99 %, 42369 MiB, 46068 MiB, 66, 297.06 W
2026/09/13 13:36:58.919, 0, NVIDIA L40S, 100 %, 99 %, 42369 MiB, 46068 MiB, 67, 294.64 W
2026/09/13 13:37:03.920, 0, NVIDIA L40S, 100 %, 96 %, 42369 MiB, 46068 MiB, 67, 289.78 W
2026/09/13 13:37:08.921, 0, NVIDIA L40S, 100 %, 98 %, 42369 MiB, 46068 MiB, 67, 293.91 W
2026/09/13 13:37:13.922, 0, NVIDIA L40S, 100 %, 97 %, 42369 MiB, 46068 MiB, 67, 293.08 W
2026/09/13 13:37:18.923, 0, NVIDIA L40S, 97 %, 97 %, 42369 MiB, 46068 MiB, 67, 312.01 W
2026/09/13 13:37:23.924, 0, NVIDIA L40S, 100 %, 99 %, 42369 MiB, 46068 MiB, 67, 304.72 W
2026/09/13 13:37:28.925, 0, NVIDIA L40S, 100 %, 99 %, 42369 MiB, 46068 MiB, 66, 310.96 W
2026/09/13 13:37:33.925, 0, NVIDIA L40S, 100 %, 100 %, 42369 MiB, 46068 MiB, 67, 302.79 W
2026/09/13 13:37:38.926, 0, NVIDIA L40S, 100 %, 97 %, 42369 MiB, 46068 MiB, 68, 311.91 W
2026/09/13 13:37:43.927, 0, NVIDIA L40S, 97 %, 96 %, 42369 MiB, 46068 MiB, 67, 322.65 W
2026/09/13 13:37:48.928, 0, NVIDIA L40S, 100 %, 97 %, 42369 MiB, 46068 MiB, 68, 303.71 W
2026/09/13 13:37:53.929, 0, NVIDIA L40S, 97 %, 92 %, 42369 MiB, 46068 MiB, 69, 311.68 W
2026/09/13 13:37:58.930, 0, NVIDIA L40S, 100 %, 94 %, 42369 MiB, 46068 MiB, 69, 307.63 W
2026/09/13 13:38:03.931, 0, NVIDIA L40S, 100 %, 99 %, 42369 MiB, 46068 MiB, 68, 291.66 W
2026/09/13 13:38:08.932, 0, NVIDIA L40S, 100 %, 99 %, 42369 MiB, 46068 MiB, 68, 301.19 W
2026/09/13 13:38:13.932, 0, NVIDIA L40S, 100 %, 99 %, 42369 MiB, 46068 MiB, 69, 300.16 W
2026/09/13 13:38:18.933, 0, NVIDIA L40S, 100 %, 99 %, 42369 MiB, 46068 MiB, 69, 297.35 W
2026/09/13 13:38:23.934, 0, NVIDIA L40S, 100 %, 99 %, 42369 MiB, 46068 MiB, 70, 300.12 W
2026/09/13 13:38:28.935, 0, NVIDIA L40S, 100 %, 94 %, 42369 MiB, 46068 MiB, 70, 289.71 W
2026/09/13 13:38:33.935, 0, NVIDIA L40S, 99 %, 96 %, 42369 MiB, 46068 MiB, 70, 293.37 W
2026/09/13 13:38:38.936, 0, NVIDIA L40S, 100 %, 100 %, 42369 MiB, 46068 MiB, 69, 299.97 W
2026/09/13 13:38:43.937, 0, NVIDIA L40S, 100 %, 99 %, 42369 MiB, 46068 MiB, 70, 301.05 W
2026/09/13 13:38:48.937, 0, NVIDIA L40S, 100 %, 99 %, 42369 MiB, 46068 MiB, 70, 296.62 W
2026/09/13 13:38:53.938, 0, NVIDIA L40S, 99 %, 95 %, 42369 MiB, 46068 MiB, 70, 227.90 W
2026/09/13 13:38:58.939, 0, NVIDIA L40S, 100 %, 97 %, 42369 MiB, 46068 MiB, 71, 312.38 W
2026/09/13 13:39:03.940, 0, NVIDIA L40S, 97 %, 94 %, 42369 MiB, 46068 MiB, 71, 326.81 W
