timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/09/13 13:48:35.818, 0, NVIDIA L40S, 0 %, 0 %, 0 MiB, 46068 MiB, 42, 37.48 W
2026/09/13 13:48:40.824, 0, NVIDIA L40S, 0 %, 0 %, 847 MiB, 46068 MiB, 43, 61.62 W
2026/09/13 13:48:45.825, 0, NVIDIA L40S, 100 %, 98 %, 42369 MiB, 46068 MiB, 51, 297.02 W
2026/09/13 13:48:50.826, 0, NVIDIA L40S, 100 %, 97 %, 42369 MiB, 46068 MiB, 55, 309.27 W
2026/09/13 13:48:55.826, 0, NVIDIA L40S, 99 %, 98 %, 42369 MiB, 46068 MiB, 57, 298.63 W
2026/09/13 13:49:00.827, 0, NVIDIA L40S, 100 %, 100 %, 42369 MiB, 46068 MiB, 57, 297.16 W
2026/09/13 13:49:05.828, 0, NVIDIA L40S, 100 %, 99 %, 42369 MiB, 46068 MiB, 59, 292.58 W
2026/09/13 13:49:10.829, 0, NVIDIA L40S, 100 %, 99 %, 42381 MiB, 46068 MiB, 60, 300.19 W
2026/09/13 13:49:15.830, 0, NVIDIA L40S, 100 %, 100 %, 42381 MiB, 46068 MiB, 61, 307.82 W
2026/09/13 13:49:20.831, 0, NVIDIA L40S, 100 %, 100 %, 42381 MiB, 46068 MiB, 62, 307.83 W
2026/09/13 13:49:25.832, 0, NVIDIA L40S, 100 %, 100 %, 42381 MiB, 46068 MiB, 62, 301.23 W
2026/09/13 13:49:30.833, 0, NVIDIA L40S, 97 %, 91 %, 42381 MiB, 46068 MiB, 63, 305.90 W
2026/09/13 13:49:35.834, 0, NVIDIA L40S, 100 %, 97 %, 42381 MiB, 46068 MiB, 64, 306.64 W
2026/09/13 13:49:40.835, 0, NVIDIA L40S, 97 %, 92 %, 42381 MiB, 46068 MiB, 64, 307.35 W
2026/09/13 13:49:45.836, 0, NVIDIA L40S, 100 %, 97 %, 42381 MiB, 46068 MiB, 64, 314.36 W
2026/09/13 13:49:50.836, 0, NVIDIA L40S, 97 %, 92 %, 42381 MiB, 46068 MiB, 63, 315.73 W
2026/09/13 13:49:55.837, 0, NVIDIA L40S, 0 %, 0 %, 42381 MiB, 46068 MiB, 59, 107.21 W
2026/09/13 13:50:00.838, 0, NVIDIA L40S, 0 %, 0 %, 42381 MiB, 46068 MiB, 57, 104.86 W
