timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/09/05 10:22:54.153, 0, NVIDIA L40S, 0 %, 0 %, 0 MiB, 46068 MiB, 39, 71.59 W
2026/09/05 10:22:59.157, 0, NVIDIA L40S, 100 %, 100 %, 26943 MiB, 46068 MiB, 43, 209.49 W
2026/09/05 10:23:04.158, 0, NVIDIA L40S, 100 %, 100 %, 26943 MiB, 46068 MiB, 45, 219.24 W
2026/09/05 10:23:09.158, 0, NVIDIA L40S, 100 %, 100 %, 26943 MiB, 46068 MiB, 46, 222.79 W
2026/09/05 10:23:14.159, 0, NVIDIA L40S, 100 %, 100 %, 26943 MiB, 46068 MiB, 48, 228.75 W
2026/09/05 10:23:19.159, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 49, 223.70 W
2026/09/05 10:23:24.160, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 49, 225.54 W
2026/09/05 10:23:29.161, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 49, 225.61 W
2026/09/05 10:23:34.161, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 51, 230.93 W
2026/09/05 10:23:39.162, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 51, 225.50 W
2026/09/05 10:23:44.162, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 52, 225.82 W
2026/09/05 10:23:49.163, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 53, 228.89 W
2026/09/05 10:23:54.163, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 52, 226.76 W
2026/09/05 10:23:59.164, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 53, 231.79 W
2026/09/05 10:24:04.164, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 53, 229.27 W
2026/09/05 10:24:09.165, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 54, 229.41 W
2026/09/05 10:24:14.166, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 54, 221.57 W
2026/09/05 10:24:19.166, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 54, 228.68 W
2026/09/05 10:24:24.167, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 54, 224.27 W
2026/09/05 10:24:29.167, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 55, 224.29 W
2026/09/05 10:24:34.168, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 55, 231.13 W
2026/09/05 10:24:39.168, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 55, 231.39 W
2026/09/05 10:24:44.169, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 55, 228.92 W
2026/09/05 10:24:49.169, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 56, 227.65 W
2026/09/05 10:24:54.170, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 57, 232.76 W
2026/09/05 10:24:59.171, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 56, 236.15 W
2026/09/05 10:25:04.171, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 56, 223.57 W
2026/09/05 10:25:09.172, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 56, 227.32 W
2026/09/05 10:25:14.172, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 56, 234.49 W
2026/09/05 10:25:19.173, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 58, 231.04 W
2026/09/05 10:25:24.173, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 57, 233.87 W
2026/09/05 10:25:29.174, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 57, 228.09 W
2026/09/05 10:25:34.175, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 58, 233.61 W
2026/09/05 10:25:39.175, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 58, 228.49 W
2026/09/05 10:25:44.176, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 57, 234.64 W
2026/09/05 10:25:49.176, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 57, 233.37 W
2026/09/05 10:25:54.177, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 58, 233.84 W
2026/09/05 10:25:59.178, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 58, 238.40 W
2026/09/05 10:26:04.178, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 58, 235.79 W
2026/09/05 10:26:09.179, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 58, 237.68 W
2026/09/05 10:26:14.179, 0, NVIDIA L40S, 13 %, 0 %, 27969 MiB, 46068 MiB, 56, 105.40 W
2026/09/05 10:26:19.180, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 57, 236.60 W
2026/09/05 10:26:24.180, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 57, 228.85 W
2026/09/05 10:26:29.181, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 57, 237.69 W
2026/09/05 10:26:34.181, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 57, 229.50 W
2026/09/05 10:26:39.182, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 57, 235.48 W
