timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/09/09 11:52:05.367, 0, NVIDIA L40S, 0 %, 0 %, 0 MiB, 46068 MiB, 36, 40.47 W
2026/09/09 11:52:10.375, 0, NVIDIA L40S, 100 %, 100 %, 26943 MiB, 46068 MiB, 43, 224.53 W
2026/09/09 11:52:15.376, 0, NVIDIA L40S, 100 %, 100 %, 26943 MiB, 46068 MiB, 47, 278.47 W
2026/09/09 11:52:20.376, 0, NVIDIA L40S, 100 %, 100 %, 26943 MiB, 46068 MiB, 49, 279.95 W
2026/09/09 11:52:25.377, 0, NVIDIA L40S, 100 %, 100 %, 26943 MiB, 46068 MiB, 52, 278.69 W
2026/09/09 11:52:30.378, 0, NVIDIA L40S, 100 %, 100 %, 27967 MiB, 46068 MiB, 52, 274.12 W
2026/09/09 11:52:35.379, 0, NVIDIA L40S, 100 %, 100 %, 27967 MiB, 46068 MiB, 54, 282.97 W
2026/09/09 11:52:40.380, 0, NVIDIA L40S, 100 %, 100 %, 27967 MiB, 46068 MiB, 55, 281.06 W
2026/09/09 11:52:45.380, 0, NVIDIA L40S, 100 %, 100 %, 27967 MiB, 46068 MiB, 56, 284.81 W
2026/09/09 11:52:50.381, 0, NVIDIA L40S, 100 %, 100 %, 27967 MiB, 46068 MiB, 57, 288.02 W
2026/09/09 11:52:55.382, 0, NVIDIA L40S, 100 %, 100 %, 27967 MiB, 46068 MiB, 59, 280.68 W
2026/09/09 11:53:00.383, 0, NVIDIA L40S, 100 %, 100 %, 27967 MiB, 46068 MiB, 59, 282.24 W
2026/09/09 11:53:05.383, 0, NVIDIA L40S, 99 %, 100 %, 27967 MiB, 46068 MiB, 60, 285.96 W
2026/09/09 11:53:10.385, 0, NVIDIA L40S, 100 %, 100 %, 27967 MiB, 46068 MiB, 62, 291.61 W
2026/09/09 11:53:15.386, 0, NVIDIA L40S, 100 %, 100 %, 27967 MiB, 46068 MiB, 62, 289.21 W
2026/09/09 11:53:20.386, 0, NVIDIA L40S, 100 %, 100 %, 27967 MiB, 46068 MiB, 63, 293.03 W
2026/09/09 11:53:25.388, 0, NVIDIA L40S, 100 %, 100 %, 27967 MiB, 46068 MiB, 63, 289.20 W
2026/09/09 11:53:30.389, 0, NVIDIA L40S, 100 %, 100 %, 27967 MiB, 46068 MiB, 63, 290.38 W
2026/09/09 11:53:35.390, 0, NVIDIA L40S, 100 %, 100 %, 27967 MiB, 46068 MiB, 65, 287.78 W
2026/09/09 11:53:40.390, 0, NVIDIA L40S, 100 %, 100 %, 27967 MiB, 46068 MiB, 65, 291.99 W
2026/09/09 11:53:45.391, 0, NVIDIA L40S, 100 %, 100 %, 27967 MiB, 46068 MiB, 65, 293.71 W
2026/09/09 11:53:50.392, 0, NVIDIA L40S, 100 %, 100 %, 27967 MiB, 46068 MiB, 65, 291.12 W
2026/09/09 11:53:55.393, 0, NVIDIA L40S, 99 %, 100 %, 27967 MiB, 46068 MiB, 67, 298.71 W
2026/09/09 11:54:00.393, 0, NVIDIA L40S, 100 %, 100 %, 27967 MiB, 46068 MiB, 67, 293.45 W
