timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/09/05 11:26:06.312, 0, NVIDIA L40S, 0 %, 0 %, 0 MiB, 46068 MiB, 39, 67.46 W
2026/09/05 11:26:11.316, 0, NVIDIA L40S, 4 %, 0 %, 887 MiB, 46068 MiB, 39, 66.65 W
2026/09/05 11:26:16.317, 0, NVIDIA L40S, 0 %, 0 %, 887 MiB, 46068 MiB, 39, 66.57 W
2026/09/05 11:26:21.317, 0, NVIDIA L40S, 100 %, 100 %, 26943 MiB, 46068 MiB, 45, 211.60 W
2026/09/05 11:26:26.318, 0, NVIDIA L40S, 100 %, 100 %, 26943 MiB, 46068 MiB, 46, 221.88 W
2026/09/05 11:26:31.318, 0, NVIDIA L40S, 100 %, 100 %, 26943 MiB, 46068 MiB, 49, 221.42 W
2026/09/05 11:26:36.319, 0, NVIDIA L40S, 100 %, 100 %, 26945 MiB, 46068 MiB, 48, 212.42 W
2026/09/05 11:26:41.319, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 49, 216.05 W
2026/09/05 11:26:46.320, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 50, 215.97 W
2026/09/05 11:26:51.320, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 51, 215.52 W
2026/09/05 11:26:56.321, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 53, 217.98 W
2026/09/05 11:27:01.322, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 53, 214.23 W
2026/09/05 11:27:06.322, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 54, 217.55 W
2026/09/05 11:27:11.323, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 54, 219.22 W
2026/09/05 11:27:16.323, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 55, 215.03 W
2026/09/05 11:27:21.324, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 56, 219.35 W
2026/09/05 11:27:26.324, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 57, 227.87 W
2026/09/05 11:27:31.325, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 57, 228.43 W
2026/09/05 11:27:36.325, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 57, 225.55 W
2026/09/05 11:27:41.326, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 59, 224.30 W
