timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/09/09 11:22:11.331, 0, NVIDIA L40S, 0 %, 0 %, 0 MiB, 46068 MiB, 43, 43.12 W
2026/09/09 11:22:16.335, 0, NVIDIA L40S, 56 %, 59 %, 26943 MiB, 46068 MiB, 49, 187.93 W
2026/09/09 11:22:21.336, 0, NVIDIA L40S, 100 %, 100 %, 26943 MiB, 46068 MiB, 53, 280.86 W
2026/09/09 11:22:26.337, 0, NVIDIA L40S, 100 %, 100 %, 26943 MiB, 46068 MiB, 55, 283.17 W
2026/09/09 11:22:31.338, 0, NVIDIA L40S, 99 %, 100 %, 26943 MiB, 46068 MiB, 57, 280.53 W
2026/09/09 11:22:36.339, 0, NVIDIA L40S, 100 %, 100 %, 27967 MiB, 46068 MiB, 58, 280.77 W
2026/09/09 11:22:41.340, 0, NVIDIA L40S, 100 %, 100 %, 27967 MiB, 46068 MiB, 59, 288.90 W
2026/09/09 11:22:46.341, 0, NVIDIA L40S, 99 %, 100 %, 27967 MiB, 46068 MiB, 61, 287.97 W
2026/09/09 11:22:51.341, 0, NVIDIA L40S, 100 %, 100 %, 27967 MiB, 46068 MiB, 62, 291.23 W
2026/09/09 11:22:56.342, 0, NVIDIA L40S, 100 %, 100 %, 27967 MiB, 46068 MiB, 62, 290.01 W
2026/09/09 11:23:01.343, 0, NVIDIA L40S, 99 %, 100 %, 27967 MiB, 46068 MiB, 64, 287.83 W
2026/09/09 11:23:06.343, 0, NVIDIA L40S, 100 %, 100 %, 27967 MiB, 46068 MiB, 65, 295.57 W
2026/09/09 11:23:11.344, 0, NVIDIA L40S, 100 %, 100 %, 27967 MiB, 46068 MiB, 66, 284.02 W
2026/09/09 11:23:16.345, 0, NVIDIA L40S, 100 %, 100 %, 27967 MiB, 46068 MiB, 66, 291.39 W
2026/09/09 11:23:21.346, 0, NVIDIA L40S, 100 %, 100 %, 27967 MiB, 46068 MiB, 67, 295.82 W
2026/09/09 11:23:26.346, 0, NVIDIA L40S, 100 %, 100 %, 27967 MiB, 46068 MiB, 67, 286.66 W
2026/09/09 11:23:31.347, 0, NVIDIA L40S, 100 %, 100 %, 27967 MiB, 46068 MiB, 67, 293.39 W
2026/09/09 11:23:36.348, 0, NVIDIA L40S, 99 %, 100 %, 27967 MiB, 46068 MiB, 68, 297.80 W
2026/09/09 11:23:41.349, 0, NVIDIA L40S, 100 %, 100 %, 27967 MiB, 46068 MiB, 68, 299.25 W
2026/09/09 11:23:46.349, 0, NVIDIA L40S, 100 %, 100 %, 27967 MiB, 46068 MiB, 69, 294.10 W
2026/09/09 11:23:51.350, 0, NVIDIA L40S, 99 %, 100 %, 27967 MiB, 46068 MiB, 69, 302.84 W
2026/09/09 11:23:56.351, 0, NVIDIA L40S, 100 %, 100 %, 27967 MiB, 46068 MiB, 70, 301.85 W
2026/09/09 11:24:01.351, 0, NVIDIA L40S, 100 %, 100 %, 27967 MiB, 46068 MiB, 69, 296.43 W
2026/09/09 11:24:06.352, 0, NVIDIA L40S, 99 %, 100 %, 27967 MiB, 46068 MiB, 71, 301.97 W
2026/09/09 11:24:11.353, 0, NVIDIA L40S, 100 %, 100 %, 27967 MiB, 46068 MiB, 70, 302.36 W
2026/09/09 11:24:16.354, 0, NVIDIA L40S, 100 %, 100 %, 27967 MiB, 46068 MiB, 70, 300.92 W
2026/09/09 11:24:21.356, 0, NVIDIA L40S, 99 %, 100 %, 27967 MiB, 46068 MiB, 72, 303.17 W
2026/09/09 11:24:26.357, 0, NVIDIA L40S, 100 %, 100 %, 27967 MiB, 46068 MiB, 71, 298.82 W
2026/09/09 11:24:31.358, 0, NVIDIA L40S, 100 %, 100 %, 27967 MiB, 46068 MiB, 71, 299.73 W
2026/09/09 11:24:36.359, 0, NVIDIA L40S, 99 %, 100 %, 27967 MiB, 46068 MiB, 72, 303.99 W
2026/09/09 11:24:41.360, 0, NVIDIA L40S, 100 %, 100 %, 27967 MiB, 46068 MiB, 71, 294.20 W
2026/09/09 11:24:46.361, 0, NVIDIA L40S, 100 %, 100 %, 27967 MiB, 46068 MiB, 71, 298.37 W
2026/09/09 11:24:51.362, 0, NVIDIA L40S, 99 %, 100 %, 27979 MiB, 46068 MiB, 71, 303.54 W
2026/09/09 11:24:56.363, 0, NVIDIA L40S, 100 %, 100 %, 27979 MiB, 46068 MiB, 71, 304.03 W
2026/09/09 11:25:01.363, 0, NVIDIA L40S, 100 %, 100 %, 27979 MiB, 46068 MiB, 71, 303.62 W
2026/09/09 11:25:06.364, 0, NVIDIA L40S, 99 %, 100 %, 27979 MiB, 46068 MiB, 71, 300.47 W
2026/09/09 11:25:11.365, 0, NVIDIA L40S, 100 %, 100 %, 27979 MiB, 46068 MiB, 71, 302.21 W
2026/09/09 11:25:16.366, 0, NVIDIA L40S, 100 %, 100 %, 27979 MiB, 46068 MiB, 72, 300.67 W
2026/09/09 11:25:21.367, 0, NVIDIA L40S, 99 %, 100 %, 27979 MiB, 46068 MiB, 71, 301.17 W
