timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/09/13 13:46:42.994, 0, NVIDIA L40S, 0 %, 0 %, 0 MiB, 46068 MiB, 41, 36.37 W
2026/09/13 13:46:48.000, 0, NVIDIA L40S, 0 %, 0 %, 847 MiB, 46068 MiB, 42, 85.91 W
2026/09/13 13:46:53.001, 0, NVIDIA L40S, 100 %, 97 %, 21715 MiB, 46068 MiB, 52, 299.62 W
2026/09/13 13:46:58.002, 0, NVIDIA L40S, 100 %, 97 %, 21715 MiB, 46068 MiB, 54, 299.86 W
2026/09/13 13:47:03.003, 0, NVIDIA L40S, 100 %, 96 %, 21715 MiB, 46068 MiB, 56, 284.51 W
2026/09/13 13:47:08.004, 0, NVIDIA L40S, 100 %, 97 %, 21715 MiB, 46068 MiB, 58, 305.85 W
2026/09/13 13:47:13.005, 0, NVIDIA L40S, 99 %, 95 %, 21727 MiB, 46068 MiB, 59, 298.89 W
2026/09/13 13:47:18.006, 0, NVIDIA L40S, 99 %, 94 %, 21727 MiB, 46068 MiB, 60, 306.92 W
2026/09/13 13:47:23.007, 0, NVIDIA L40S, 99 %, 96 %, 21727 MiB, 46068 MiB, 61, 306.22 W
2026/09/13 13:47:28.008, 0, NVIDIA L40S, 100 %, 97 %, 21727 MiB, 46068 MiB, 62, 300.68 W
2026/09/13 13:47:33.009, 0, NVIDIA L40S, 97 %, 93 %, 21727 MiB, 46068 MiB, 63, 297.99 W
2026/09/13 13:47:38.010, 0, NVIDIA L40S, 0 %, 0 %, 21727 MiB, 46068 MiB, 58, 255.02 W
2026/09/13 13:47:43.011, 0, NVIDIA L40S, 97 %, 92 %, 21727 MiB, 46068 MiB, 63, 307.51 W
2026/09/13 13:47:48.012, 0, NVIDIA L40S, 0 %, 0 %, 21727 MiB, 46068 MiB, 56, 104.22 W
2026/09/13 13:47:53.013, 0, NVIDIA L40S, 0 %, 0 %, 21727 MiB, 46068 MiB, 54, 102.96 W
