-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     105.915ms         2.57%     105.915ms     275.821us           384  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     102.754ms         2.49%     102.754ms      63.902us          1608  
                                              aten::sum         0.37%      20.582ms         1.66%      93.588ms      59.686us     102.488ms         2.48%     102.488ms      65.362us          1568  
autograd::engine::evaluate_function: torch::autograd...         0.14%       7.650ms         1.71%      96.146ms      62.595us       0.000us         0.00%     102.272ms      66.583us          1536  
                            torch::autograd::CopySlices         0.17%       9.836ms         1.57%      88.496ms      57.615us       0.000us         0.00%     102.272ms      66.583us          1536  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      95.799ms         2.32%      95.799ms     243.144us           394  
autograd::engine::evaluate_function: UnbindBackward0...         0.03%       1.769ms         1.67%      94.139ms     245.154us       0.000us         0.00%      93.336ms     243.064us           384  
                                        UnbindBackward0         0.01%     680.564us         1.64%      92.371ms     240.548us       0.000us         0.00%      93.336ms     243.064us           384  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 5.624s
Self CUDA time total: 4.129s
