-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us        4.650s        85.93%        4.650s        4.650s             1  
                                          ProfilerStep*         3.05%     230.221ms        67.27%        5.085s        5.085s       0.000us         0.00%        1.696s        1.696s             1  
                                           aten::linear         0.04%       2.729ms         0.56%      42.213ms      53.844us       0.000us         0.00%        1.120s       1.429ms           784  
    autograd::engine::evaluate_function: AddmmBackward0         0.06%       4.380ms         6.73%     508.518ms       1.297ms       0.000us         0.00%        1.083s       2.761ms           392  
                                            aten::copy_         0.22%      16.944ms        43.82%        3.312s     769.518us        1.033s        19.09%        1.033s     240.079us          4304  
                                         AddmmBackward0         0.03%       2.401ms         4.22%     319.030ms     813.853us       0.000us         0.00%     934.702ms       2.384ms           392  
                                               aten::mm         0.18%      13.907ms         4.15%     313.346ms     399.676us     934.702ms        17.27%     934.702ms       1.192ms           784  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     530.739ms         9.81%     530.739ms     365.020us          1454  
                                            aten::addmm         0.11%       8.128ms         0.13%       9.674ms      24.677us     509.920ms         9.42%     509.920ms       1.301ms           392  
autograd::engine::evaluate_function: NativeLayerNorm...         0.03%       2.515ms         1.52%     114.983ms     574.913us       0.000us         0.00%     470.008ms       2.350ms           200  
ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_...         0.00%       0.000us         0.00%       0.000us       0.000us     445.111ms         8.22%     445.111ms       1.361ms           327  
                                               aten::to         0.03%       2.092ms        39.70%        3.001s       1.011ms       0.000us         0.00%     427.279ms     143.913us          2969  
                                         aten::_to_copy         0.08%       6.385ms        39.68%        2.999s       1.164ms       0.000us         0.00%     427.279ms     165.869us          2576  
                               NativeLayerNormBackward0         0.01%     610.435us         1.11%      83.975ms     419.875us       0.000us         0.00%     319.418ms       1.597ms           200  
                       aten::native_layer_norm_backward         0.02%       1.771ms         1.10%      83.365ms     416.823us     319.418ms         5.90%     319.418ms       1.597ms           200  
autograd::engine::evaluate_function: ScaledDotProduc...         0.02%       1.187ms         0.96%      72.336ms     753.499us       0.000us         0.00%     316.517ms       3.297ms            96  
                ScaledDotProductFlashAttentionBackward0         0.01%     539.753us         0.94%      71.149ms     741.137us       0.000us         0.00%     316.517ms       3.297ms            96  
     aten::_scaled_dot_product_flash_attention_backward         0.01%       1.090ms         0.93%      70.609ms     735.514us       0.000us         0.00%     316.517ms       3.297ms            96  
                        aten::_flash_attention_backward         0.02%       1.471ms         0.91%      68.745ms     716.095us     316.517ms         5.85%     316.517ms       3.297ms            96  
