timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/09/05 11:41:47.368, 0, NVIDIA L40S, 0 %, 0 %, 0 MiB, 46068 MiB, 39, 70.16 W
2026/09/05 11:41:52.373, 0, NVIDIA L40S, 100 %, 100 %, 26943 MiB, 46068 MiB, 43, 207.98 W
2026/09/05 11:41:57.373, 0, NVIDIA L40S, 100 %, 100 %, 26943 MiB, 46068 MiB, 45, 211.71 W
2026/09/05 11:42:02.374, 0, NVIDIA L40S, 100 %, 100 %, 26943 MiB, 46068 MiB, 46, 213.56 W
2026/09/05 11:42:07.374, 0, NVIDIA L40S, 100 %, 100 %, 26943 MiB, 46068 MiB, 49, 220.32 W
2026/09/05 11:42:12.375, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 48, 214.03 W
2026/09/05 11:42:17.375, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 50, 216.08 W
2026/09/05 11:42:22.376, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 50, 217.37 W
2026/09/05 11:42:27.376, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 51, 218.63 W
2026/09/05 11:42:32.377, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 52, 216.89 W
2026/09/05 11:42:37.378, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 53, 212.33 W
2026/09/05 11:42:42.378, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 55, 213.27 W
2026/09/05 11:42:47.379, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 55, 232.30 W
2026/09/05 11:42:52.379, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 55, 225.71 W
2026/09/05 11:42:57.380, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 56, 218.59 W
2026/09/05 11:43:02.380, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 57, 227.67 W
2026/09/05 11:43:07.382, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 56, 222.25 W
2026/09/05 11:43:12.382, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 57, 216.07 W
2026/09/05 11:43:17.383, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 58, 229.20 W
2026/09/05 11:43:22.383, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 58, 218.75 W
2026/09/05 11:43:27.384, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 58, 218.32 W
2026/09/05 11:43:32.384, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 59, 229.16 W
2026/09/05 11:43:37.385, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 59, 215.80 W
2026/09/05 11:43:42.385, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 60, 228.77 W
2026/09/05 11:43:47.386, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 60, 231.24 W
2026/09/05 11:43:52.387, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 62, 231.29 W
2026/09/05 11:43:57.387, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 60, 220.94 W
2026/09/05 11:44:02.388, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 60, 214.89 W
2026/09/05 11:44:07.388, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 61, 221.74 W
2026/09/05 11:44:12.389, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 60, 221.36 W
2026/09/05 11:44:17.389, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 61, 226.09 W
2026/09/05 11:44:22.390, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 62, 226.25 W
2026/09/05 11:44:27.391, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 62, 232.65 W
2026/09/05 11:44:32.391, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 62, 226.43 W
2026/09/05 11:44:37.392, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 62, 223.39 W
2026/09/05 11:44:42.392, 0, NVIDIA L40S, 100 %, 100 %, 27969 MiB, 46068 MiB, 62, 193.70 W
