-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     144.457ms         3.02%     144.457ms      72.738us          1986  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     143.846ms         3.01%     143.846ms     374.599us           384  
                                              aten::sum         0.17%      11.393ms         2.33%     156.413ms     199.506us     141.950ms         2.97%     141.950ms     181.058us           784  
    autograd::engine::evaluate_function: SliceBackward0         0.05%       3.411ms         2.55%     171.243ms     222.972us       0.000us         0.00%     134.639ms     175.311us           768  
                               aten::cross_entropy_loss         0.00%     103.791us         0.02%       1.374ms      85.868us       0.000us         0.00%     130.580ms       8.161ms            16  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     121.182ms         2.54%     121.182ms     596.958us           203  
      autograd::engine::evaluate_function: MulBackward0         0.13%       8.741ms         4.78%     321.832ms     209.526us       0.000us         0.00%     118.758ms      77.317us          1536  
                                       aten::layer_norm         0.01%     978.500us         0.16%      10.774ms      26.935us       0.000us         0.00%     118.582ms     296.455us           400  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 6.727s
Self CUDA time total: 4.780s
